,Dates,Category,PdDistrict,Address,X,Y
123806,2013-09-19 06:33:00,ARSON,NORTHERN,1000 Block of STEINER ST,-122.433571772367,37.7788887614902
123949,2013-09-18 19:14:00,ARSON,RICHMOND,2700 Block of FULTON ST,-122.46110740446998,37.7740161252649
123981,2013-09-18 18:08:00,KIDNAPPING,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
124076,2013-09-18 15:19:00,DRUNKENNESS,TENDERLOIN,100 Block of GOLDEN GATE AV,-122.413069926397,37.7820204255866
124127,2013-09-18 13:30:00,ARSON,NORTHERN,700 Block of ELLIS ST,-122.418562097105,37.78418470913029
124272,2013-09-18 06:56:00,RUNAWAY,TARAVAL,0 Block of FARALLONES ST,-122.454154436499,37.7140350941097
124281,2013-09-18 04:51:00,ARSON,SOUTHERN,1100 Block of HOWARD ST,-122.410165356485,37.777283890395104
124364,2013-09-17 22:50:00,KIDNAPPING,INGLESIDE,1000 Block of PERSIA AV,-122.427620930727,37.7190833085485
124442,2013-09-17 19:30:00,DRUNKENNESS,SOUTHERN,800 Block of MARKET ST,-122.406690592261,37.7852071918419
124446,2013-09-17 19:30:00,KIDNAPPING,SOUTHERN,0 Block of 6TH ST,-122.409011206639,37.7811340568243
124466,2013-09-17 18:40:00,ARSON,NORTHERN,700 Block of ELLIS ST,-122.418562097105,37.78418470913029
124717,2013-09-17 03:45:00,KIDNAPPING,SOUTHERN,200 Block of BERRY ST,-122.394438381217,37.774853325726106
124770,2013-09-16 23:50:00,KIDNAPPING,TENDERLOIN,300 Block of TURK ST,-122.414900544562,37.7827419623926
124781,2013-09-16 23:08:00,KIDNAPPING,INGLESIDE,100 Block of TRUMBULL ST,-122.427240184736,37.73079224766129
124803,2013-09-16 22:00:00,RUNAWAY,RICHMOND,600 Block of 22ND AV,-122.481109480209,37.7755013000664
124948,2013-09-16 15:45:00,DRUNKENNESS,TENDERLOIN,200 Block of GOLDEN GATE AV,-122.414302052544,37.781863316866
125138,2013-09-16 07:02:00,DRUNKENNESS,SOUTHERN,6TH ST / MINNA ST,-122.408162953857,37.7805345385278
125179,2013-09-16 00:30:00,KIDNAPPING,TARAVAL,3600 Block of OCEAN AV,-122.484087457971,37.7323897461212
125233,2013-09-08 21:51:00,DRUNKENNESS,MISSION,24TH ST / MISSION ST,-122.418448186101,37.7522391652625
125348,2013-09-08 16:30:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
125349,2013-09-08 16:30:00,DRUNKENNESS,BAYVIEW,600 Block of JAMESTOWN AV,-122.387833652325,37.7131072321423
125521,2013-09-08 08:52:00,RUNAWAY,TARAVAL,0 Block of FARALLONES ST,-122.454154436499,37.7140350941097
125576,2013-09-08 02:30:00,KIDNAPPING,INGLESIDE,1000 Block of PERSIA AV,-122.427620930727,37.7190833085485
125723,2013-09-07 20:48:00,DRUNKENNESS,INGLESIDE,4500 Block of MISSION ST,-122.43455277287,37.7249007364814
125790,2013-09-07 18:00:00,KIDNAPPING,SOUTHERN,0 Block of 6TH ST,-122.409011206639,37.7811340568243
125803,2013-09-07 17:54:00,DRUNKENNESS,MISSION,24TH ST / MISSION ST,-122.418448186101,37.7522391652625
125834,2013-09-07 17:00:00,KIDNAPPING,RICHMOND,600 Block of 9TH AV,-122.467221148771,37.7761343245369
125932,2013-09-07 12:30:00,RUNAWAY,PARK,1200 Block of PAGE ST,-122.441393701114,37.77172731417711
125986,2013-09-07 10:05:00,DRUNKENNESS,SOUTHERN,STEVENSON ST / 6TH ST,-122.409696355558,37.7817540588712
125992,2013-09-07 10:00:00,RUNAWAY,TARAVAL,0 Block of FARALLONES ST,-122.454154436499,37.7140350941097
126037,2013-09-07 04:57:00,ARSON,TARAVAL,48TH AV / JUDAH ST,-122.508067688112,37.760327629048
126064,2013-09-07 02:04:00,DRUNKENNESS,CENTRAL,BROADWAY ST / ROMOLO ST,-122.406235011205,37.7979206468132
126080,2013-09-07 01:30:00,KIDNAPPING,INGLESIDE,0 Block of COLLEGE TR,-122.426462947425,37.7354561237323
126200,2013-09-06 21:00:00,KIDNAPPING,TARAVAL,300 Block of ARBALLO DR,-122.483066441234,37.7208318410205
126331,2013-09-06 17:00:00,KIDNAPPING,INGLESIDE,100 Block of LONDON ST,-122.43238182556,37.7266052914251
126479,2013-09-06 11:14:00,DRUNKENNESS,SOUTHERN,6TH ST / JESSIE ST,-122.409247675547,37.7813987340892
126498,2013-09-06 10:52:00,DRUNKENNESS,SOUTHERN,0 Block of 6TH ST,-122.408913229808,37.781211650766295
126574,2013-09-06 03:49:00,ARSON,RICHMOND,3500 Block of FULTON ST,-122.469641697587,37.7732875002688
126608,2013-09-06 00:15:00,DRUNKENNESS,NORTHERN,1100 Block of FILLMORE ST,-122.432116233695,37.7800304351156
126621,2013-09-06 00:01:00,ARSON,PARK,1100 Block of SCOTT ST,-122.43709942831998,37.7803522156893
126698,2013-09-05 20:30:00,KIDNAPPING,BAYVIEW,1100 Block of HOLLISTER AV,-122.39333133786998,37.7203256859376
126707,2013-09-05 20:00:00,KIDNAPPING,BAYVIEW,1500 Block of OAKDALE AV,-122.389471535682,37.7340319720999
126831,2013-09-05 15:30:00,DRUNKENNESS,MISSION,17TH ST / CAPP ST,-122.418486296575,37.7634954373144
127148,2013-09-04 21:30:00,KIDNAPPING,INGLESIDE,300 Block of SAWYER ST,-122.414200995694,37.7137889657104
127211,2013-09-04 19:00:00,ARSON,SOUTHERN,1200 Block of FOLSOM ST,-122.410802477808,37.7743299153836
127328,2013-09-04 13:39:00,DRUNKENNESS,SOUTHERN,6TH ST / MARKET ST,-122.41029351969,37.7822305870036
127468,2013-09-04 08:00:00,KIDNAPPING,INGLESIDE,0 Block of GLADSTONE DR,-122.420306723417,37.7304026570113
127477,2013-09-04 07:38:00,DRUNKENNESS,TENDERLOIN,ELLIS ST / MASON ST,-122.409499861107,37.7852842684318
127484,2013-09-04 07:14:00,DRUNKENNESS,SOUTHERN,5THSTNORTH ST / MARKET ST,-122.408068345148,37.7839916768161
127486,2013-09-04 07:06:00,DRUNKENNESS,TENDERLOIN,100 Block of EDDY ST,-122.410135236377,37.78418890752671
127633,2013-09-03 19:21:00,DRUNKENNESS,SOUTHERN,400 Block of NATOMA ST,-122.407039055082,37.78075651835911
127734,2013-09-03 15:45:00,RUNAWAY,TARAVAL,1800 Block of VICENTE ST,-122.48560378101,37.7388214326705
127790,2013-09-03 13:21:00,DRUNKENNESS,MISSION,800 Block of SHOTWELL ST,-122.415326257835,37.7548226306308
127868,2013-09-03 08:48:00,DRUNKENNESS,TENDERLOIN,EDDY ST / MASON ST,-122.409313111431,37.784347851315104
127872,2013-09-03 08:39:00,DRUNKENNESS,SOUTHERN,POWELL ST / MARKET ST,-122.407545855931,37.784401179486
127908,2013-09-03 07:28:00,DRUNKENNESS,SOUTHERN,POWELL ST / MARKET ST,-122.407545855931,37.784401179486
127947,2013-09-03 00:50:00,DRUNKENNESS,INGLESIDE,MISSION ST / PERSIA AV,-122.43597721703,37.7231288306727
128004,2013-09-02 21:00:00,KIDNAPPING,MISSION,2200 Block of MARKET ST,-122.431957685196,37.7649357189679
128107,2013-09-02 16:02:00,KIDNAPPING,BAYVIEW,0 Block of NICHOLS WY,-122.38724435334,37.7195130001474
128179,2013-09-02 13:00:00,DRUNKENNESS,SOUTHERN,1400 Block of MARKET ST,-122.418480564808,37.775898446204
128289,2013-09-02 05:00:00,KIDNAPPING,MISSION,2200 Block of MISSION ST,-122.419350173229,37.76101609120561
128351,2013-08-25 23:15:00,DRUNKENNESS,RICHMOND,2500 Block of SUTTER ST,-122.442364696255,37.7848750530811
128393,2013-08-25 21:38:00,DRUNKENNESS,PARK,OAK ST / SCOTT ST,-122.435753024583,37.7733438011236
128402,2013-08-25 21:00:00,KIDNAPPING,BAYVIEW,400 Block of TUNNEL AV,-122.401399497577,37.70911172039371
128441,2013-08-25 19:40:00,DRUNKENNESS,BAYVIEW,600 Block of JAMESTOWN AV,-122.387833652325,37.7131072321423
128444,2013-08-25 19:22:00,DRUNKENNESS,BAYVIEW,600 Block of JAMESTOWN AV,-122.387833652325,37.7131072321423
128556,2013-08-25 15:45:00,DRUNKENNESS,BAYVIEW,600 Block of JAMESTOWN AV,-122.387833652325,37.7131072321423
128574,2013-08-25 15:05:00,DRUNKENNESS,MISSION,500 Block of DOLORES ST,-122.426153349478,37.7606186794333
128580,2013-08-25 14:33:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
128688,2013-08-25 05:30:00,KIDNAPPING,INGLESIDE,0 Block of RUTLAND ST,-122.405103470633,37.717588974255904
128748,2013-08-25 00:53:00,DRUNKENNESS,CENTRAL,400 Block of BROADWAY ST,-122.404260458632,37.79811648188871
128894,2013-08-24 18:30:00,KIDNAPPING,TENDERLOIN,200 Block of GOLDEN GATE AV,-122.414302052544,37.781863316866
129031,2013-08-24 11:45:00,KIDNAPPING,TARAVAL,12TH AV / LAWTON ST,-122.469130005097,37.7583035716828
129064,2013-08-24 09:20:00,ARSON,BAYVIEW,3RD ST / CHINABASIN ST,-122.390027243495,37.7762997888042
129082,2013-08-24 08:40:00,DRUNKENNESS,BAYVIEW,1400 Block of MENDELL ST,-122.390577977348,37.7342439948771
129105,2013-08-24 05:20:00,KIDNAPPING,MISSION,3500 Block of CESAR CHAVEZ ST,-122.420832650303,37.7479994493226
129153,2013-08-24 00:01:00,KIDNAPPING,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
129209,2013-08-23 22:03:00,DRUNKENNESS,SOUTHERN,800 Block of MARKET ST,-122.406520987144,37.7850629421661
129261,2013-08-23 19:54:00,KIDNAPPING,BAYVIEW,700 Block of INNES AV,-122.372926079722,37.730459961039706
129279,2013-08-23 19:09:00,KIDNAPPING,MISSION,2800 Block of 23RD ST,-122.409741838345,37.7544242915077
129572,2013-08-23 06:50:00,DRUNKENNESS,SOUTHERN,6TH ST / NATOMA ST,-122.407693108529,37.7801630691196
129574,2013-08-23 06:37:00,DRUNKENNESS,SOUTHERN,100 Block of 6TH ST,-122.40787711735202,37.7803875013555
129803,2013-08-22 16:30:00,KIDNAPPING,TARAVAL,4000 Block of IRVING ST,-122.501240780463,37.76244308035261
129941,2013-08-22 09:46:00,DRUNKENNESS,SOUTHERN,MISSION ST / 8TH ST,-122.41316085097,37.7774566611807
129944,2013-08-22 09:40:00,RUNAWAY,MISSION,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
129956,2013-08-22 09:15:00,RUNAWAY,BAYVIEW,1700 Block of CESAR CHAVEZ ST,-122.39434785768,37.7499131969111
130018,2013-08-22 03:00:00,KIDNAPPING,TARAVAL,300 Block of HOWTH ST,-122.451882643621,37.7191893908295
130082,2013-08-21 22:15:00,KIDNAPPING,CENTRAL,500 Block of POST ST,-122.410882825551,37.787920937553295
130245,2013-08-21 17:00:00,KIDNAPPING,NORTHERN,900 Block of GEARY ST,-122.418918390218,37.7859407304209
130248,2013-08-21 16:48:00,DRUNKENNESS,PARK,1600 Block of HAIGHT ST,-122.450452600564,37.7695032629887
130373,2013-08-21 10:33:00,DRUNKENNESS,SOUTHERN,HOWARD ST / MARY ST,-122.405721454567,37.7808789360214
130509,2013-08-20 21:45:00,DRUNKENNESS,TARAVAL,800 Block of URBANO DR,-122.463421633503,37.723517646765
130518,2013-08-20 21:15:00,DRUNKENNESS,NORTHERN,700 Block of FRANKLIN ST,-122.42230632339,37.7815164967782
130575,2013-08-20 19:05:00,KIDNAPPING,INGLESIDE,1700 Block of FELTON ST,-122.421880457136,37.7255738014945
130579,2013-08-20 19:05:00,KIDNAPPING,INGLESIDE,1700 Block of FELTON ST,-122.421880457136,37.7255738014945
130758,2013-08-20 12:40:00,RUNAWAY,BAYVIEW,1700 Block of CESAR CHAVEZ ST,-122.39434785768,37.7499131969111
130803,2013-08-20 10:45:00,KIDNAPPING,PARK,FULTON ST / MASONIC AV,-122.446472679005,37.7758015943912
130804,2013-08-20 10:45:00,KIDNAPPING,PARK,FULTON ST / MASONIC AV,-122.446472679005,37.7758015943912
130820,2013-08-20 09:42:00,DRUNKENNESS,TENDERLOIN,EDDY ST / MASON ST,-122.409313111431,37.784347851315104
130876,2013-08-20 03:00:00,DRUNKENNESS,SOUTHERN,300 Block of BEALE ST,-122.391985513707,37.788020382906296
131032,2013-08-19 18:38:00,DRUNKENNESS,MISSION,2700 Block of MISSION ST,-122.418587172219,37.75301865374461
131117,2013-08-19 16:41:00,DRUNKENNESS,NORTHERN,600 Block of EDDY ST,-122.418382008607,37.783258377094896
131194,2013-08-19 14:01:00,DRUNKENNESS,MISSION,1000 Block of SHOTWELL ST,-122.415160761593,37.7516186563287
131310,2013-08-19 08:55:00,DRUNKENNESS,TENDERLOIN,EDDY ST / MASON ST,-122.409313111431,37.784347851315104
131335,2013-08-19 06:29:00,DRUNKENNESS,TENDERLOIN,100 Block of MASON ST,-122.40947349732,37.784816365102
131356,2013-08-19 02:45:00,KIDNAPPING,MISSION,22ND ST / CAPP ST,-122.417660640341,37.7555043420028
131503,2013-08-11 19:20:00,DRUNKENNESS,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.466204667893,37.7725405391593
131512,2013-08-11 19:00:00,DRUNKENNESS,MISSION,700 Block of CAPP ST,-122.417511996621,37.754691084878
131818,2013-08-11 01:25:00,DRUNKENNESS,INGLESIDE,4700 Block of MISSION ST,-122.436867932617,37.7220486455317
131832,2013-08-11 00:46:00,DRUNKENNESS,CENTRAL,400 Block of BROADWAY ST,-122.405065483077,37.7980134745487
131861,2013-08-10 23:51:00,KIDNAPPING,CENTRAL,400 Block of GEARY ST,-122.410699657634,37.7869881885308
132044,2013-08-10 17:00:00,KIDNAPPING,BAYVIEW,200 Block of WILLIAMS AV,-122.397744427103,37.7299346936044
132192,2013-08-10 11:05:00,DRUNKENNESS,PARK,700 Block of STANYAN ST,-122.453376250788,37.7687142722405
132271,2013-08-10 04:19:00,KIDNAPPING,MISSION,600 Block of SOUTH VAN NESS AV,-122.417185210419,37.7627583408182
132285,2013-08-10 02:50:00,DRUNKENNESS,SOUTHERN,HARRISON ST / 3RD ST,-122.397388784826,37.7825543452426
132289,2013-08-10 02:00:00,KIDNAPPING,CENTRAL,800 Block of BUSH ST,-122.411259228464,37.789789421954495
132305,2013-08-10 01:40:00,DRUNKENNESS,SOUTHERN,1300 Block of STEVENSON ST,-122.42173251154,37.7707590888754
132334,2013-08-10 00:01:00,KIDNAPPING,BAYVIEW,200 Block of WILLIAMS AV,-122.397744427103,37.7299346936044
132346,2013-08-09 23:30:00,ARSON,NORTHERN,1600 Block of PINE ST,-122.422984865337,37.7893598360149
132690,2013-08-09 12:00:00,RUNAWAY,INGLESIDE,0 Block of COSTA ST,-122.406324317133,37.74472510739879
132706,2013-08-09 11:38:00,DRUNKENNESS,SOUTHERN,800 Block of MARKET ST,-122.406520987144,37.7850629421661
132715,2013-08-09 11:15:00,ARSON,BAYVIEW,QUINT ST / NEWCOMB AV,-122.395382931364,37.73840533514429
132718,2013-08-09 11:00:00,DRUNKENNESS,MISSION,4200 Block of 18TH ST,-122.436668010553,37.760845185793706
132732,2013-08-09 10:25:00,DRUNKENNESS,MISSION,0 Block of HOFF ST,-122.420575720933,37.7641819463712
132742,2013-08-09 09:48:00,DRUNKENNESS,SOUTHERN,100 Block of 5TH ST,-122.406141248372,37.7825406642524
132755,2013-08-09 09:01:00,DRUNKENNESS,SOUTHERN,6TH ST / MINNA ST,-122.408162953857,37.7805345385278
132773,2013-08-09 07:33:00,DRUNKENNESS,SOUTHERN,MARKET ST / MASON ST,-122.408953598279,37.783287873572
132781,2013-08-09 06:30:00,ARSON,CENTRAL,0 Block of DASHIELL HAMMETT ST,-122.408034830311,37.7907401544868
132888,2013-08-08 21:50:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
132930,2013-08-08 20:05:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
132948,2013-08-08 19:16:00,KIDNAPPING,SOUTHERN,600 Block of MISSION ST,-122.401692292616,37.786588859076296
132966,2013-08-08 18:45:00,DRUNKENNESS,PARK,1600 Block of MCALLISTER ST,-122.439201396009,37.77763423137971
133262,2013-08-07 23:00:00,KIDNAPPING,TENDERLOIN,0 Block of TURK ST,-122.409853729941,37.7833862379382
133409,2013-08-07 18:05:00,DRUNKENNESS,MISSION,25TH ST / TREAT AV,-122.412838554019,37.7509678760759
133532,2013-08-07 13:00:00,KIDNAPPING,RICHMOND,900 Block of CABRILLO ST,-122.468706870862,37.7752040514383
133534,2013-08-07 12:58:00,DRUNKENNESS,SOUTHERN,200 Block of 6TH ST,-122.406830073947,37.77955378317321
133597,2013-08-07 08:55:00,DRUNKENNESS,BAYVIEW,500 Block of BAY SHORE BL,-122.407139235455,37.7393186205107
133617,2013-08-07 07:37:00,DRUNKENNESS,SOUTHERN,0 Block of 6TH ST,-122.410041631816,37.78195365372571
133634,2013-08-07 05:50:00,KIDNAPPING,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
133701,2013-08-06 22:45:00,ARSON,PARK,0 Block of HENRY ST,-122.432239209019,37.7666730659112
133795,2013-08-06 18:25:00,KIDNAPPING,INGLESIDE,100 Block of ALEMANY BL,-122.40921525596902,37.7361732498955
133898,2013-08-06 13:55:00,DRUNKENNESS,SOUTHERN,6TH ST / HOWARD ST,-122.407163046954,37.7797376338991
133977,2013-08-06 10:00:00,DRUNKENNESS,TENDERLOIN,300 Block of EDDY ST,-122.413753670487,37.78373004094
134158,2013-08-05 18:40:00,RUNAWAY,PARK,1200 Block of PAGE ST,-122.441393701114,37.77172731417711
134181,2013-08-05 17:30:00,DRUNKENNESS,INGLESIDE,100 Block of DALEWOOD WY,-122.456617190599,37.7378950760453
134267,2013-08-05 12:49:00,DRUNKENNESS,TENDERLOIN,EDDY ST / MASON ST,-122.409313111431,37.784347851315104
134313,2013-08-05 10:30:00,KIDNAPPING,SOUTHERN,300 Block of MAIN ST,-122.391024911564,37.7887786674397
134354,2013-08-05 07:38:00,DRUNKENNESS,SOUTHERN,HOWARD ST / MARY ST,-122.405721454567,37.7808789360214
134379,2013-08-05 04:55:00,ARSON,NORTHERN,1000 Block of GEARY ST,-122.420571110949,37.7857331120575
134398,2013-08-05 02:25:00,DRUNKENNESS,SOUTHERN,1600 Block of MARKET ST,-122.421619493654,37.773433937273005
134478,2013-07-28 21:30:00,KIDNAPPING,TENDERLOIN,400 Block of ELLIS ST,-122.413609328985,37.784696907904
134524,2013-07-28 19:49:00,DRUNKENNESS,NORTHERN,1700 Block of SACRAMENTO ST,-122.421720672696,37.7914446364385
134572,2013-07-28 17:24:00,DRUNKENNESS,PARK,HAIGHT ST / MASONIC AV,-122.4453467866,37.7702081959172
134706,2013-07-28 13:00:00,RUNAWAY,TARAVAL,1800 Block of VICENTE ST,-122.48560378101,37.7388214326705
134739,2013-07-28 12:00:00,KIDNAPPING,BAYVIEW,1200 Block of HOLLISTER AV,-122.395098403651,37.7213030940671
134755,2013-07-28 11:09:00,ARSON,CENTRAL,700 Block of POWELL ST,-122.409007369565,37.7915837065255
134965,2013-07-27 21:20:00,DRUNKENNESS,SOUTHERN,100 Block of STEUART ST,-122.392349764257,37.7926450897756
135270,2013-07-27 04:00:00,KIDNAPPING,INGLESIDE,1100 Block of PERALTA AV,-122.409678079531,37.7357223682795
135354,2013-07-27 00:01:00,DRUNKENNESS,INGLESIDE,PERSIA AV / NAPLES ST,-122.431204527214,37.72085578178
135533,2013-07-26 17:34:00,DRUNKENNESS,MISSION,2800 Block of 26TH ST,-122.407394656476,37.7496315886349
135759,2013-07-26 08:19:00,DRUNKENNESS,TENDERLOIN,0 Block of POWELL ST,-122.407845374111,37.7850943210103
135865,2013-07-25 22:05:00,DRUNKENNESS,TENDERLOIN,0 Block of TURK ST,-122.409849441655,37.78327552025671
136055,2013-07-25 13:42:00,DRUNKENNESS,SOUTHERN,COLUMBIASQUARE ST / HARRISON ST,-122.404899281944,37.7766207855265
136153,2013-07-25 09:04:00,DRUNKENNESS,SOUTHERN,POWELL ST / MARKET ST,-122.407545855931,37.784401179486
136157,2013-07-25 08:45:00,KIDNAPPING,TARAVAL,0 Block of BELLE AV,-122.469858048347,37.7087236355003
136221,2013-07-25 01:13:00,DRUNKENNESS,SOUTHERN,1100 Block of FOLSOM ST,-122.40856429774,37.7760967348453
136258,2013-07-24 23:23:00,ARSON,CENTRAL,600 Block of CALIFORNIA ST,-122.405025778458,37.792508340252
136280,2013-07-24 22:35:00,KIDNAPPING,INGLESIDE,4600 Block of MISSION ST,-122.435161640813,37.7243102435436
136336,2013-07-24 20:53:00,RUNAWAY,MISSION,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
136341,2013-07-24 20:03:00,KIDNAPPING,CENTRAL,800 Block of GRANT AV,-122.406460320184,37.7947041509893
136501,2013-07-24 14:14:00,DRUNKENNESS,CENTRAL,200 Block of THE EMBARCADERONORTH ST,-122.396374439116,37.79805325280579
136623,2013-07-24 08:59:00,DRUNKENNESS,SOUTHERN,6TH ST / MINNA ST,-122.408162953857,37.7805345385278
136631,2013-07-24 08:25:00,KIDNAPPING,MISSION,1800 Block of MISSION ST,-122.419970859857,37.7674540344176
136787,2013-07-23 19:41:00,ARSON,BAYVIEW,LASALLE AV / EARL ST,-122.37376866328,37.7280078822916
136831,2013-07-23 18:05:00,DRUNKENNESS,SOUTHERN,800 Block of BRYANT ST,-122.403404791479,37.775420706711
136907,2013-07-23 14:30:00,ARSON,CENTRAL,300 Block of BAY ST,-122.412803753,37.8057739875696
136924,2013-07-23 13:27:00,DRUNKENNESS,SOUTHERN,0 Block of 6TH ST,-122.408913229808,37.781211650766295
137053,2013-07-23 06:33:00,DRUNKENNESS,SOUTHERN,400 Block of MINNA ST,-122.407387172098,37.7810688918781
137060,2013-07-23 06:15:00,DRUNKENNESS,NORTHERN,1300 Block of WEBSTER ST,-122.431046366089,37.7830295716044
137105,2013-07-23 01:25:00,ARSON,NORTHERN,100 Block of CHURCH ST,-122.429080297019,37.7681979747465
137130,2013-07-22 23:30:00,KIDNAPPING,MISSION,900 Block of VALENCIA ST,-122.421085159058,37.7572895293911
137228,2013-07-22 19:35:00,KIDNAPPING,CENTRAL,1300 Block of GRANT AV,-122.407370965267,37.79924012538321
137260,2013-07-22 18:26:00,DRUNKENNESS,INGLESIDE,5900 Block of MISSION ST,-122.45346119546998,37.7084753872645
137280,2013-07-22 17:25:00,ARSON,NORTHERN,0 Block of DANIELBURNHAM CT,-122.422540554174,37.78690886580221
137302,2013-07-22 16:45:00,RUNAWAY,MISSION,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
137545,2013-07-22 02:00:00,ARSON,TARAVAL,2200 Block of IRVING ST,-122.48195981416,37.763403841317
137548,2013-07-22 01:30:00,KIDNAPPING,TENDERLOIN,100 Block of TURK ST,-122.411615075408,37.7831614109395
137558,2013-07-22 00:17:00,KIDNAPPING,BAYVIEW,1600 Block of PALOU AV,-122.39192940892,37.7344910991058
137632,2013-07-14 21:13:00,DRUNKENNESS,MISSION,200 Block of SANCARLOS ST,-122.419837816387,37.7593751579447
137854,2013-07-14 09:35:00,KIDNAPPING,CENTRAL,200 Block of SUTTER ST,-122.404013943546,37.7897518225049
137870,2013-07-14 08:50:00,DRUNKENNESS,CENTRAL,400 Block of BROADWAY ST,-122.405065483077,37.7980134745487
137896,2013-07-14 04:20:00,ARSON,SOUTHERN,0 Block of 6TH ST,-122.40950430935,37.781526271747
137911,2013-07-14 02:40:00,ARSON,TENDERLOIN,0 Block of JONES ST,-122.412192555721,37.7816045741252
137918,2013-07-14 02:03:00,KIDNAPPING,MISSION,1000 Block of TREAT AV,-122.41313563097,37.7533494192093
137948,2013-07-14 00:38:00,DRUNKENNESS,MISSION,2700 Block of FOLSOM ST,-122.41422734891898,37.7532831691873
138250,2013-07-13 11:16:00,DRUNKENNESS,SOUTHERN,1000 Block of HARRISON ST,-122.404439703838,37.777058307998296
138271,2013-07-13 10:13:00,DRUNKENNESS,MISSION,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
138404,2013-07-12 23:20:00,KIDNAPPING,SOUTHERN,MARKET ST / 3RD ST,-122.403434086745,37.78764305018
138436,2013-07-12 22:15:00,DRUNKENNESS,RICHMOND,5600 Block of GEARY BL,-122.479912728919,37.78018134996579
138777,2013-07-12 04:04:00,ARSON,MISSION,2800 Block of CESAR CHAVEZ ST,-122.406548471122,37.7487265521144
138988,2013-07-11 14:50:00,DRUNKENNESS,TENDERLOIN,0 Block of TAYLOR ST,-122.41055128181002,37.78250255901021
139123,2013-07-11 07:36:00,DRUNKENNESS,SOUTHERN,POWELL ST / MARKET ST,-122.407545855931,37.784401179486
139211,2013-07-10 20:49:00,DRUNKENNESS,TENDERLOIN,100 Block of POWELL ST,-122.40801449292,37.7859507767613
139304,2013-07-10 16:15:00,DRUNKENNESS,CENTRAL,400 Block of BROADWAY ST,-122.405087523335,37.7981219270604
139342,2013-07-10 14:44:00,DRUNKENNESS,SOUTHERN,5TH ST / SHIPLEY ST,-122.402842748428,37.7798294192767
139389,2013-07-10 12:48:00,DRUNKENNESS,CENTRAL,2000 Block of MASON ST,-122.412810150813,37.80204733378471
139810,2013-07-09 13:30:00,DRUNKENNESS,SOUTHERN,1100 Block of MARKET ST,-122.412320907436,37.7807642254398
139885,2013-07-09 10:00:00,ARSON,RICHMOND,400 Block of 30TH AV,-122.490093437359,37.7807920840194
139892,2013-07-09 09:26:00,DRUNKENNESS,SOUTHERN,HOWARD ST / 5TH ST,-122.404934413339,37.7814987213218
140001,2013-07-08 22:54:00,DRUNKENNESS,MISSION,2800 Block of 16TH ST,-122.415873491231,37.7653356122581
140004,2013-07-08 22:43:00,DRUNKENNESS,SOUTHERN,0 Block of SUMNER ST,-122.410447258669,37.7763230906676
140049,2013-07-08 20:46:00,DRUNKENNESS,SOUTHERN,800 Block of 3RD ST,-122.391425069857,37.7778727797586
140112,2013-07-08 18:05:00,DRUNKENNESS,CENTRAL,300 Block of POST ST,-122.407612885387,37.7884486019705
140173,2013-07-08 15:35:00,RUNAWAY,TARAVAL,1800 Block of VICENTE ST,-122.48560378101,37.7388214326705
140363,2013-07-08 02:00:00,DRUNKENNESS,NORTHERN,FILLMORE ST / PIXLEY ST,-122.435775002745,37.7984860019922
140467,2013-06-30 20:52:00,DRUNKENNESS,PARK,HAIGHT ST / STANYAN ST,-122.45353456066002,37.76916629780521
140511,2013-06-30 19:30:00,KIDNAPPING,PARK,900 Block of OAK ST,-122.434956691087,37.77349986212271
140571,2013-06-30 17:41:00,DRUNKENNESS,TENDERLOIN,100 Block of TAYLOR ST,-122.410928353347,37.7836778741124
140622,2013-06-30 16:00:00,DRUNKENNESS,TENDERLOIN,GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076
140634,2013-06-30 15:45:00,DRUNKENNESS,TARAVAL,300 Block of SLOAT BL,-122.476112101091,37.734780118103
140648,2013-06-30 15:23:00,DRUNKENNESS,NORTHERN,POLK ST / GROVE ST,-122.418229899721,37.7784895366813
140822,2013-06-30 02:40:00,KIDNAPPING,TARAVAL,ALEMANY BL / SAGAMORE ST,-122.462542742654,37.7111712111054
140846,2013-06-30 01:33:00,DRUNKENNESS,MISSION,3000 Block of MISSION ST,-122.418163204335,37.7485889485524
140860,2013-06-30 01:00:00,KIDNAPPING,MISSION,18TH ST / CASTRO ST,-122.435002864298,37.7608878061194
140873,2013-06-30 00:52:00,ARSON,NORTHERN,1800 Block of BEACH ST,-122.438656503133,37.80421202393
